Protein,Gene_x,Protein_Description,chart,b_LnLM1,t12_LnLM1,b_LnLM2,t12_LnLM2,b_CFit,t12_CFit
Q5T9A4,ATAD3B,ATPase family AAA domain-containing protein 3B,1,0.06771676933913698,10.235975332617354,0.06771676933913696,10.235975332617356,0.06705835764321903,10.336477136046241
Q96QE3,ATAD5,ATPase family AAA domain-containing protein 5,1,0.1496379344073087,4.632162180702291,0.1496379344073087,4.632162180702291,0.16296413669994922,4.2533725186184554
Q5SQI0,ATAT1,Alpha-tubulin N-acetyltransferase 1,1,0.17533361836365075,3.953304489058813,0.17533361836365075,3.953304489058813,0.1877602854375615,3.6916602408470824
Q86WG3,ATCAY,Caytaxin,1,0.3467267165619074,1.9991167321430945,0.34672671656190734,1.999116732143095,0.38184120911478714,1.8152759943507695
O95260,ATE1,Arginyl-tRNA--protein transferase 1,1,0.14672726872750422,4.7240515452327365,0.14672726872750422,4.7240515452327365,0.14552797649335875,4.7629823300097724
P15336,ATF2,Cyclic AMP-dependent transcription factor ATF-2,0,,,,,,
P18850,ATF6,Cyclic AMP-dependent transcription factor ATF-6 alpha,1,0.21860836695025926,3.1707257605453845,0.21860836695025926,3.1707257605453845,0.27620734017289783,2.509517596911274
Q99941,ATF6B,Cyclic AMP-dependent transcription factor ATF-6 beta,1,0.17940365724242574,3.863617895053861,0.17940365724242574,3.863617895053861,0.2511694588283305,2.7596793965053608
P17544,ATF7,Cyclic AMP-dependent transcription factor ATF-7,0,,,,,,
Q6VMQ6,ATF7IP,Activating transcription factor 7-interacting protein 1,1,0.35989511213751507,1.9259699762054434,0.35989511213751507,1.9259699762054434,0.5957262131274902,1.1635331219034444
Q9BSB4,ATG101,Autophagy-related protein 101,1,0.3801402056868918,1.8233987623263046,0.3801402056868918,1.8233987623263046,0.5795207237009758,1.196069704174374
O94817,ATG12,Ubiquitin-like protein ATG12,1,0.06752443787434916,10.265130704971845,0.06752443787434914,10.265130704971847,0.0649661632378995,10.669356877698174
O75143,ATG13,Autophagy-related protein 13,1,0.2887957998583161,2.4001290216132123,0.2887957998583161,2.4001290216132123,0.4309028535483848,1.6085926905613166
Q6ZNE5,ATG14,Beclin 1-associated autophagy-related key regulator,1,0.1722511841589643,4.024048856002437,0.1722511841589643,4.024048856002437,0.2111649384308113,3.2824918081135737
Q676U5,ATG16L1,Autophagy-related protein 16-1,1,0.16843260317341638,4.115279153206986,0.16843260317341638,4.115279153206986,0.20289698441051707,3.416251762310649
Q2TAZ0,ATG2A,Autophagy-related protein 2 homolog A,1,0.27202290705902216,2.5481206272439025,0.2720229070590221,2.548120627243903,0.302154314697875,2.2940171523051895
Q96BY7,ATG2B,Autophagy-related protein 2 homolog B,1,0.2762992645749603,2.508682683706144,0.27629926457496023,2.5086826837061444,0.32967157983883344,2.102538474498785
Q9NT62,ATG3,Ubiquitin-like-conjugating enzyme ATG3,1,0.1830949584645961,3.7857251033701984,0.1830949584645961,3.7857251033701984,0.1866490303963943,3.713639332001242
Q8WYN0,ATG4A,Cysteine protease ATG4A,0,,,,,,
Q9Y4P1,ATG4B,Cysteine protease ATG4B,1,0.17750026694431809,3.9050486655177026,0.17750026694431809,3.9050486655177026,0.18391099007986575,3.7689274591960875
Q96DT6,ATG4C,Cysteine protease ATG4C,1,0.15072955663957066,4.598614870323151,0.15072955663957063,4.598614870323152,0.15001782171193215,4.620432243649979
Q86TL0,ATG4D,Cysteine protease ATG4D,0,,,,,,
Q9H1Y0,ATG5,Autophagy protein 5,1,0.14474442267210266,4.788766073081579,0.14474442267210266,4.788766073081579,0.14326939594490312,4.8380687025895455
O95352,ATG7,Ubiquitin-like modifier-activating enzyme ATG7,1,0.11145914906288447,6.218845078109079,0.11145914906288444,6.218845078109081,0.11280092891008886,6.144871210346483
Q7Z3C6,ATG9A,Autophagy-related protein 9A,1,0.3132845301351817,2.212516463104174,0.3132845301351817,2.212516463104174,0.3801371409599846,1.8234134628610519
P31939,ATIC,Bifunctional purine biosynthesis protein ATIC,1,0.075245583314047,9.211798886148673,0.075245583314047,9.211798886148673,0.07670641864059341,9.036364789857734
Q8WXF7,ATL1,Atlastin-1,1,0.25212484605741015,2.7492220278921344,0.25212484605741015,2.7492220278921344,0.2542984544670115,2.7257231350962177
Q8NHH9,ATL2,Atlastin-2,1,0.17165129869715415,4.038112066852874,0.17165129869715415,4.038112066852874,0.17438796205041696,3.974742134778494
Q6DD88,ATL3,Atlastin-3,1,0.1748579035560486,3.964059767751735,0.1748579035560486,3.964059767751735,0.18281767721513867,3.7914669473907283
Q13315,ATM,Serine-protein kinase ATM,1,0.09242635965415964,7.499453436806977,0.09242635965415964,7.499453436806977,0.15915825980779974,4.355081422710911
P54259,ATN1,Atrophin-1,1,0.5157861699539583,1.3438653863515169,0.5157861699539583,1.3438653863515169,1.274295011574341,0.5439456124870091
O00244,ATOX1,Copper transport protein ATOX1,1,0.2195300172550195,3.1574141396560957,0.21953001725501944,3.1574141396560966,0.2232838066064078,3.104332513381888
P98196,ATP11A,Phospholipid-transporting ATPase IH,1,0.13648944879369573,5.078393873563367,0.13648944879369573,5.078393873563367,0.13478566831050287,5.142588149380666
Q9Y2G3,ATP11B,Phospholipid-transporting ATPase IF,1,0.1746608477927708,3.968532097029215,0.17466084779277083,3.9685320970292146,0.18594143070564348,3.7277715780150102
Q8NB49,ATP11C,Phospholipid-transporting ATPase IG,1,0.2071159481880806,3.346662517415139,0.2071159481880806,3.346662517415139,0.23613741935104376,2.9353551100239104
P54707,ATP12A,Potassium-transporting ATPase alpha chain 2,0,,,,,,
Q9HD20,ATP13A1,Endoplasmic reticulum transmembrane helix translocase,1,0.16217987454194724,4.273940786534924,0.16217987454194724,4.273940786534924,0.21068947890649212,3.289899354051641
Q9NQ11,ATP13A2,Polyamine-transporting ATPase 13A2,1,0.28787247748525285,2.407827197011058,0.28787247748525285,2.407827197011058,0.3146136077266121,2.203169740713393
Q9H7F0,ATP13A3,Polyamine-transporting ATPase 13A3,1,0.2734430972098452,2.534886371726588,0.2734430972098452,2.534886371726588,0.33494273783233136,2.0694497962422673
P05023,ATP1A1,Sodium/potassium-transporting ATPase subunit alpha-1,1,0.18145144175010305,3.8200147316247577,0.18145144175010308,3.8200147316247572,0.18897854559893495,3.667861758397678
P50993,ATP1A2,Sodium/potassium-transporting ATPase subunit alpha-2,0,,,,,,
P13637,ATP1A3,Sodium/potassium-transporting ATPase subunit alpha-3,1,0.17363678087787968,3.991937520699845,0.17363678087787968,3.991937520699845,0.179542483013421,3.860630469882339
P05026,ATP1B1,Sodium/potassium-transporting ATPase subunit beta-1,1,0.16518703946007268,4.196135379782539,0.16518703946007268,4.196135379782539,0.1740394727776501,3.9827009901684685
P14415,ATP1B2,Sodium/potassium-transporting ATPase subunit beta-2,1,0.1995784603581272,3.4730560568317315,0.19957846035812718,3.473056056831732,0.20474966514165768,3.385339751742138
P54709,ATP1B3,Sodium/potassium-transporting ATPase subunit beta-3,1,0.1110926190060461,6.239363035650654,0.1110926190060461,6.239363035650654,0.11300732135015779,6.13364844222969
O14983,ATP2A1,Sarcoplasmic/endoplasmic reticulum calcium ATPase 1,1,0.08502494316865329,8.152280433578607,0.08502494316865329,8.152280433578607,0.08981047047770106,7.717888313835813
P16615,ATP2A2,Sarcoplasmic/endoplasmic reticulum calcium ATPase 2,1,0.18671421817041414,3.71234278434709,0.18671421817041414,3.71234278434709,0.20810572469923233,3.3307453774360405
P20020,ATP2B1,Plasma membrane calcium-transporting ATPase 1,1,0.15396329195453407,4.502028839216001,0.15396329195453407,4.502028839216001,0.15876139481114138,4.3659680704147
Q01814,ATP2B2,Plasma membrane calcium-transporting ATPase 2,1,0.24745441452395997,2.8011105879577296,0.24745441452395997,2.8011105879577296,0.28348088704733443,2.445128445094101
Q16720,ATP2B3,Plasma membrane calcium-transporting ATPase 3,1,0.29609497035626303,2.3409623599007676,0.296094970356263,2.340962359900768,0.2858096751210378,2.4252054457792718
P23634,ATP2B4,Plasma membrane calcium-transporting ATPase 4,1,0.22548703369764259,3.074000172840945,0.22548703369764259,3.074000172840945,0.23129021313335174,2.9968720732697287
P98194,ATP2C1,Calcium-transporting ATPase type 2C member 1,1,0.3099004920757092,2.2366766051814087,0.3099004920757092,2.2366766051814087,0.42579055950782835,1.6279064086370414
P20648,ATP4A,Potassium-transporting ATPase alpha chain 1,1,0.2363630606658214,2.932552906564117,0.2363630606658214,2.932552906564117,0.2705192549185559,2.5622840812888836
P25705,ATP5F1A,"ATP synthase subunit alpha, mitochondrial",1,0.11033289318473903,6.282325791995271,0.11033289318473903,6.282325791995271,0.11472875323314378,6.04161695326175
P06576,ATP5F1B,"ATP synthase subunit beta, mitochondrial",1,0.1016844650357979,6.816647757510684,0.1016844650357979,6.816647757510684,0.10456377377386251,6.628941893958395
P36542,ATP5F1C,"ATP synthase subunit gamma, mitochondrial",1,0.08973539044748245,7.724345735873396,0.08973539044748245,7.724345735873396,0.089319751058937,7.76029010764458
P30049,ATP5F1D,"ATP synthase subunit delta, mitochondrial",1,0.2242045195109326,3.0915843359087427,0.2242045195109326,3.0915843359087427,0.1884377386233987,3.6783883399557835
P56381,ATP5F1E,"ATP synthase subunit epsilon, mitochondrial",1,0.09431160398234185,7.349542911917017,0.09431160398234185,7.349542911917017,0.09644340907972457,7.187087092565941
Q9UII2,ATP5IF1,"ATPase inhibitor, mitochondrial",1,0.11013525764124266,6.293599301486362,0.11013525764124266,6.293599301486362,0.11512298813819875,6.020927633739498
P56385,ATP5ME,"ATP synthase subunit e, mitochondrial",1,0.06551607965996283,10.579802457007064,0.06551607965996283,10.579802457007064,0.06651850110521637,10.420366800862697
P56134,ATP5MF,"ATP synthase subunit f, mitochondrial",1,0.050606168701963224,13.696891077491413,0.050606168701963224,13.696891077491413,0.05157585439585527,13.439373689089052
O75964,ATP5MG,"ATP synthase subunit g, mitochondrial",1,0.06011364983583952,11.53061213971895,0.06011364983583952,11.53061213971895,0.06071420471703705,11.416557027970768
P56378,ATP5MJ,"ATP synthase subunit ATP5MJ, mitochondrial",1,0.08615027836009548,8.045791537233253,0.08615027836009549,8.045791537233253,0.08837986869748109,7.8428174965109525
Q96IX5,ATP5MK,"ATP synthase membrane subunit K, mitochondrial",1,0.14883212678893915,4.657241655512366,0.14883212678893915,4.657241655512366,0.1507406655609924,4.598275972713451
P24539,ATP5PB,"ATP synthase F(0) complex subunit B1, mitochondrial",1,0.08656696437008168,8.007063498226387,0.08656696437008168,8.007063498226387,0.0891543817874539,7.774684391984503
O75947,ATP5PD,"ATP synthase subunit d, mitochondrial",1,0.0737097894116069,9.403733019630593,0.0737097894116069,9.403733019630593,0.07538458604493165,9.19481311666031
P18859,ATP5PF,"ATP synthase-coupling factor 6, mitochondrial",1,0.09992461983339121,6.936700702145884,0.09992461983339121,6.936700702145884,0.10287596438582768,6.737698010395849
P48047,ATP5PO,"ATP synthase subunit O, mitochondrial",1,0.07990959990933086,8.674141546778138,0.07990959990933086,8.674141546778138,0.08115486959940947,8.541042379605882
Q15904,ATP6AP1,V-type proton ATPase subunit S1,1,0.2840319384885074,2.440384642123589,0.2840319384885074,2.440384642123589,0.5200968089536416,1.332727231982937
O75787,ATP6AP2,Renin receptor,1,0.32154232797400695,2.1556949746783522,0.32154232797400695,2.1556949746783522,0.6526151845486204,1.0621070379160098
Q93050,ATP6V0A1,V-type proton ATPase 116 kDa subunit a 1,1,0.22026061158499988,3.146941142004664,0.22026061158499988,3.146941142004664,0.23339885904959587,2.9697967821370352
Q9Y487,ATP6V0A2,V-type proton ATPase 116 kDa subunit a 2,1,0.1761804334715735,3.934302844542517,0.17618043347157353,3.9343028445425166,0.17637160771346702,3.930038340899125
P27449,ATP6V0C,V-type proton ATPase 16 kDa proteolipid subunit c,1,0.2147573043977938,3.227583725282901,0.2147573043977938,3.227583725282901,0.21644321748384984,3.2024435259176705
P61421,ATP6V0D1,V-type proton ATPase subunit d 1,1,0.26717903784141167,2.594317226980111,0.26717903784141167,2.594317226980111,0.30828454481560696,2.248400681177627
Q8N8Y2,ATP6V0D2,V-type proton ATPase subunit d 2,1,0.18655260514002583,3.7155588368206978,0.1865526051400258,3.715558836820698,0.20095964186412885,3.4491859864509022
P38606,ATP6V1A,V-type proton ATPase catalytic subunit A,1,0.18828582767218535,3.6813561016750964,0.18828582767218538,3.681356101675096,0.1943693446619287,3.566134267548995
P15313,ATP6V1B1,"V-type proton ATPase subunit B, kidney isoform",0,,,,,,
P21281,ATP6V1B2,"V-type proton ATPase subunit B, brain isoform",1,0.178843194765956,3.875725780156386,0.178843194765956,3.875725780156386,0.17961845451469494,3.858997575904638
P21283,ATP6V1C1,V-type proton ATPase subunit C 1,1,0.23026931318742178,3.0101587179172937,0.23026931318742178,3.0101587179172937,0.23568887115024814,2.9409414928126765
Q9Y5K8,ATP6V1D,V-type proton ATPase subunit D,1,0.2239514825267123,3.095077437039376,0.2239514825267123,3.095077437039376,0.23679012310361014,2.9272639055838114
P36543,ATP6V1E1,V-type proton ATPase subunit E 1,1,0.19835835758096343,3.494418833736437,0.19835835758096343,3.494418833736437,0.2035680659774647,3.404989762179485
Q96A05,ATP6V1E2,V-type proton ATPase subunit E 2,0,,,,,,
Q16864,ATP6V1F,V-type proton ATPase subunit F,1,0.32025321380602184,2.1643722862990105,0.32025321380602184,2.1643722862990105,0.35110974927911065,1.9741610194051773
O75348,ATP6V1G1,V-type proton ATPase subunit G 1,1,0.2435262586383251,2.846293391257565,0.24352625863832508,2.8462933912575656,0.25356632623651265,2.733593181901511
O95670,ATP6V1G2,V-type proton ATPase subunit G 2,1,0.20577893542253817,3.368406873797188,0.20577893542253817,3.368406873797188,0.2056000288499866,3.3713379537786503
Q9UI12,ATP6V1H,V-type proton ATPase subunit H,1,0.20353870010810507,3.4054810224875935,0.20353870010810504,3.405481022487594,0.21843176295332925,3.1732893201436325
Q04656,ATP7A,Copper-transporting ATPase 1,1,0.21327080480069052,3.2500800154419496,0.21327080480069052,3.2500800154419496,0.23880838740946206,2.9025244384380504
P35670,ATP7B,Copper-transporting ATPase 2,0,,,,,,
Q9Y2Q0,ATP8A1,Phospholipid-transporting ATPase IA,1,0.2825131505189291,2.453504126398189,0.2825131505189291,2.453504126398189,0.32088257252605107,2.160127223810734
Q9NTI2,ATP8A2,Phospholipid-transporting ATPase IB,1,0.23054803871982024,3.0065195280290857,0.23054803871982024,3.0065195280290857,0.25108591454757867,2.7605976297352184
P98198,ATP8B2,Phospholipid-transporting ATPase ID,0,,,,,,
O75110,ATP9A,Probable phospholipid-transporting ATPase IIA,1,0.3302107013051869,2.099105746180302,0.3302107013051869,2.099105746180302,0.41012489297727156,1.6900880498330502
O43861,ATP9B,Probable phospholipid-transporting ATPase IIB,0,,,,,,
Q5TC12,ATPAF1,ATP synthase mitochondrial F1 complex assembly factor 1,1,0.20657187472367253,3.3554770294221115,0.20657187472367253,3.3554770294221115,0.24557176061655886,2.8225850513904995
Q8N5M1,ATPAF2,ATP synthase mitochondrial F1 complex assembly factor 2,1,0.11166115367012626,6.2075946538011575,0.11166115367012627,6.207594653801157,0.11375160926526148,6.09351538002043
Q13535,ATR,Serine/threonine-protein kinase ATR,1,0.19126655211690888,3.6239853382010527,0.19126655211690888,3.6239853382010527,0.20173188485334548,3.435982274511774
Q6UW56,ATRAID,All-trans retinoic acid-induced differentiation factor,1,0.16967543850133385,4.0851356370857195,0.16967543850133388,4.085135637085719,0.17433377837001843,3.9759775015531433
Q8WXE1,ATRIP,ATR-interacting protein,1,0.16554023950152683,4.1871824194959695,0.16554023950152683,4.1871824194959695,0.17582257011305977,3.9423105925151054
O75882,ATRN,Attractin,1,0.3054182619661902,2.2695014243669447,0.3054182619661902,2.2695014243669447,0.3813446524820899,1.8176397021654827
Q5VV63,ATRNL1,Attractin-like protein 1,1,0.538125356876129,1.2880775300828293,0.538125356876129,1.2880775300828293,0.8880693843867737,0.7805101636721489
P46100,ATRX,Transcriptional regulator ATRX,1,0.29752975086235245,2.3296735151726695,0.29752975086235245,2.3296735151726695,0.34485511261875385,2.009966374853306
Q9UBB4,ATXN10,Ataxin-10,1,0.32936449735655854,2.1044987730100377,0.32936449735655854,2.1044987730100377,0.5104914091211049,1.3578038105544468
P0C7T5,ATXN1L,Ataxin-1-like,1,0.27284098446969735,2.5404804263815746,0.27284098446969735,2.5404804263815746,0.2651865734577954,2.6138094833457326
Q99700,ATXN2,Ataxin-2,1,0.2833691469104165,2.446092625528759,0.2833691469104165,2.446092625528759,0.3009994702559996,2.302818606193641
Q8WWM7,ATXN2L,Ataxin-2-like protein,1,0.2522556897798157,2.747796020636707,0.2522556897798157,2.747796020636707,0.27213104967942764,2.5471080252564993
P54252,ATXN3,Ataxin-3,1,0.17416340700575456,3.9798669104873614,0.17416340700575456,3.9798669104873614,0.1817424765067842,3.8138975207266474
Q5T6C5,ATXN7L2,Ataxin-7-like protein 2,1,0.452580658647743,1.5315439741304597,0.45258065864774305,1.5315439741304595,0.5995493828502009,1.1561135752734653
Q14CW9,ATXN7L3,Ataxin-7-like protein 3,1,0.2913598806636209,2.3790069483183016,0.29135988066362084,2.379006948318302,0.9929917102699568,0.6980392418094858
Q96GX2,ATXN7L3B,Ataxin-7-like protein 3B,1,0.2927209620302667,2.367945143909015,0.29272096203026665,2.3679451439090156,0.46934799415677286,1.476829962393359
Q13825,AUH,"Methylglutaconyl-CoA hydratase, mitochondrial",1,0.059810072330740774,11.589137975405627,0.059810072330740774,11.589137975405627,0.06026816178864834,11.501050637494327
Q9Y679,AUP1,Lipid droplet-regulating VLDL assembly factor AUP1,1,0.1741306720336781,3.980615089028576,0.1741306720336781,3.980615089028576,0.1908621800387013,3.6316633312026254
O14965,AURKA,Aurora kinase A,1,0.1329879601068719,5.212104764994649,0.1329879601068719,5.212104764994649,0.14892239444727143,4.6544187201164435
Q9NWT8,AURKAIP1,Aurora kinase A-interacting protein,1,0.08961789096993002,7.734473251468513,0.08961789096993002,7.734473251468513,0.08508717605931158,8.146317843205589
Q96GD4,AURKB,Aurora kinase B,1,0.08976032123484876,7.722200311052767,0.08976032123484876,7.722200311052767,0.09132847239485667,7.589606640557158
Q8WXX7,AUTS2,Autism susceptibility gene 2 protein,1,0.4731234584877883,1.4650450492888336,0.47312345848778836,1.4650450492888336,1.4678677761458936,0.472213636557856
Q9NQS1,AVEN,Cell death regulator Aven,1,0.1688304504366901,4.1055815391540955,0.1688304504366901,4.1055815391540955,0.1600873811736355,4.329805231857328
Q8NBF6,AVL9,Late secretory pathway protein AVL9 homolog,1,0.2911867249858058,2.3804216369882023,0.2911867249858058,2.3804216369882023,0.34054697032808134,2.035393766364066
Q9H6S1,AZI2,5-azacytidine-induced protein 2,1,0.5284871922800269,1.311568550165868,0.5284871922800269,1.311568550165868,1.1760542413998438,0.5893836833026512
O75752,B3GALNT1,"UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 1",1,0.37205744097230065,1.863011202648006,0.37205744097230065,1.863011202648006,0.8053519944244897,0.8606760588645134
Q9Y5Z6,B3GALT1,"Beta-1,3-galactosyltransferase 1",0,,,,,,
O43825,B3GALT2,"Beta-1,3-galactosyltransferase 2",0,,,,,,
O96024,B3GALT4,"Beta-1,3-galactosyltransferase 4",0,,,,,,
Q96L58,B3GALT6,"Beta-1,3-galactosyltransferase 6",1,0.18762698688785454,3.694282960341107,0.18762698688785454,3.694282960341107,0.18581123067140626,3.730383669788647
Q9P2W7,B3GAT1,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1,0,,,,,,
O94766,B3GAT3,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3,1,0.10535937450643307,6.5788847343396375,0.10535937450643307,6.5788847343396375,0.10699752366492446,6.478160959412655
Q6Y288,B3GLCT,"Beta-1,3-glucosyltransferase",1,0.11627310626840681,5.961371488260343,0.11627310626840681,5.961371488260343,0.12221998051302875,5.671308223503237
Q9BYG0,B3GNT5,"Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase",1,0.12609944848165974,5.496829596846005,0.12609944848165974,5.496829596846005,0.12473243956176737,5.557072266005826
Q67FW5,B3GNTL1,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase-like protein 1",1,0.033111233708017725,20.933897742146137,0.03311123370801772,20.93389774214614,0.03342794209581036,20.735562439747667
Q00973,B4GALNT1,"Beta-1,4 N-acetylgalactosaminyltransferase 1",1,0.3836458779009496,1.806736942808762,0.3836458779009496,1.806736942808762,0.5994199159232447,1.1563632808101463
Q76KP1,B4GALNT4,N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase 1,1,0.19521322662029572,3.5507183225251855,0.19521322662029572,3.5507183225251855,0.26829140170654137,2.5835609197722764
P15291,B4GALT1,"Beta-1,4-galactosyltransferase 1",1,0.3201109336638378,2.165334287793646,0.3201109336638378,2.165334287793646,0.38731637429335175,1.789614967414103
O60909,B4GALT2,"Beta-1,4-galactosyltransferase 2",0,,,,,,
O60512,B4GALT3,"Beta-1,4-galactosyltransferase 3",1,0.2333712663005582,2.970147917298623,0.2333712663005582,2.970147917298623,0.3203774196189733,2.163533189649599
O60513,B4GALT4,"Beta-1,4-galactosyltransferase 4",1,0.2615639966076464,2.6500099002527713,0.2615639966076464,2.6500099002527713,0.3305080870656668,2.097217005229369
Q9UBX8,B4GALT6,"Beta-1,4-galactosyltransferase 6",1,0.19492662014879908,3.555939050453062,0.19492662014879908,3.555939050453062,0.4372721594156888,1.5851619309268927
Q9UBV7,B4GALT7,"Beta-1,4-galactosyltransferase 7",1,0.15434041625637587,4.491028321502995,0.15434041625637587,4.491028321502995,0.1650346745490926,4.200009376537147
O43505,B4GAT1,"Beta-1,4-glucuronyltransferase 1",1,0.3885546381575567,1.7839117397921218,0.3885546381575567,1.7839117397921218,0.7776378694316404,0.8913495700338673
Q9BPU9,B9D2,B9 domain-containing protein 2,1,0.12656542016621877,5.476592102721525,0.12656542016621877,5.476592102721525,0.1394610260774541,4.970185578406573
Q9NWV8,BABAM1,BRISC and BRCA1-A complex member 1,1,0.08715282078198239,7.953238625447264,0.08715282078198239,7.953238625447264,0.08940179550535328,7.753168453070279
Q9NXR7,BABAM2,BRISC and BRCA1-A complex member 2,1,0.08997850107434546,7.703475522305343,0.08997850107434546,7.703475522305343,0.0911834158436776,7.601680351043858
P56817,BACE1,Beta-secretase 1,1,0.3499598453434294,1.9806477508290492,0.3499598453434294,1.9806477508290492,0.4620509303299013,1.5001531975382947
O14867,BACH1,Transcription regulator protein BACH1,1,0.4309496705576063,1.6084179381389974,0.43094967055760625,1.6084179381389976,0.7171522667324607,0.9665272114639071
Q9BYV9,BACH2,Transcription regulator protein BACH2,1,0.30350000396471777,2.2838457051240253,0.30350000396471777,2.2838457051240253,0.38061946866730423,1.8211028011439385
Q92934,BAD,Bcl2-associated agonist of cell death,1,0.1470106790922974,4.714944416553359,0.14701067909229737,4.71494441655336,0.14363875542744303,4.825627864132241
Q99933,BAG1,BAG family molecular chaperone regulator 1,1,0.1063973109202239,6.514705818830921,0.1063973109202239,6.514705818830921,0.10802317691651947,6.4166524290950155
O95816,BAG2,BAG family molecular chaperone regulator 2,1,0.20382312020915275,3.400728925397048,0.20382312020915275,3.400728925397048,0.19756969801977395,3.508367869705257
O95817,BAG3,BAG family molecular chaperone regulator 3,1,0.3991299654283608,1.7366453050350015,0.3991299654283608,1.7366453050350015,0.3999788722385177,1.7329594852865222
O95429,BAG4,BAG family molecular chaperone regulator 4,1,0.37746468273970263,1.8363232701109031,0.3774646827397026,1.8363232701109033,0.4297126590526169,1.6130480821489406
Q9UL15,BAG5,BAG family molecular chaperone regulator 5,1,0.16730918528425429,4.142911695985519,0.16730918528425426,4.14291169598552,0.1673842977154376,4.141052595855395
P46379,BAG6,Large proline-rich protein BAG6,1,0.22411343141434525,3.092840871631836,0.22411343141434523,3.0928408716318363,0.2532330506371376,2.7371908161907705
Q9UQB8,BAIAP2,Brain-specific angiogenesis inhibitor 1-associated protein 2,1,0.34653946083309184,2.0001969729323106,0.3465394608330918,2.000196972932311,0.4950333306831243,1.4002030521933393
Q16611,BAK1,Bcl-2 homologous antagonist/killer,1,0.03806401060760896,18.210040652452577,0.03806401060760896,18.210040652452577,0.0381866361704863,18.151564266235763
O75531,BANF1,Barrier-to-autointegration factor,1,0.12136290916308756,5.71135930524287,0.12136290916308756,5.71135930524287,0.12434368528708577,5.574446172795998
Q8N9N5,BANP,Protein BANP,1,0.281900236296787,2.4588385936299604,0.281900236296787,2.4588385936299604,0.35929922709179,1.9291641292144146
Q92560,BAP1,Ubiquitin carboxyl-terminal hydrolase BAP1,1,0.31556813283384544,2.1965056304493986,0.31556813283384544,2.1965056304493986,0.42773298890062045,1.6205137282992947
Q8IXM2,BAP18,Chromatin complexes subunit BAP18,1,0.1445572406627827,4.794966875280161,0.1445572406627827,4.794966875280161,0.15612082009296838,4.439812576869524
P80723,BASP1,Brain acid soluble protein 1,1,0.058498589290075086,11.848955487163263,0.05849858929007509,11.848955487163261,0.05995572552260623,11.560983951375837
Q07812,BAX,Apoptosis regulator BAX,1,0.09243607664383623,7.498665085394073,0.09243607664383623,7.498665085394073,0.0957423225006477,7.239715545392751
Q9NRL2,BAZ1A,Bromodomain adjacent to zinc finger domain protein 1A,1,0.14487076915321004,4.7845896353797785,0.14487076915321004,4.7845896353797785,0.17159456999465383,4.039447055821992
Q9UIG0,BAZ1B,Tyrosine-protein kinase BAZ1B,1,0.18578785635791692,3.7308529962507877,0.18578785635791692,3.7308529962507877,0.20304207560779639,3.4138105537241166
Q9UIF9,BAZ2A,Bromodomain adjacent to zinc finger domain protein 2A,1,0.21954504952418405,3.157197951227734,0.21954504952418405,3.157197951227734,0.3030288392355382,2.287396745169776
Q9UIF8,BAZ2B,Bromodomain adjacent to zinc finger domain protein 2B,1,0.28145176209850564,2.4627565853268663,0.28145176209850564,2.4627565853268663,0.42584600996553695,1.627694434934451
Q9BUW7,BBLN,Bublin coiled-coil protein,1,1.0589380044896224,0.6545682349874885,1.0589380044896224,0.6545682349874885,1.2871101065602817,0.5385298250919156
Q8NFJ9,BBS1,Bardet-Biedl syndrome 1 protein,1,0.15832196998656972,4.378085875376262,0.15832196998656972,4.378085875376262,0.1813784144389736,3.8215527614128577
Q8TAM1,BBS10,Bardet-Biedl syndrome 10 protein,0,,,,,,
Q9BXC9,BBS2,Bardet-Biedl syndrome 2 protein,1,0.19847385219529767,3.4923853842363606,0.19847385219529767,3.4923853842363606,0.2233494304651579,3.1034204077277687
Q96RK4,BBS4,Bardet-Biedl syndrome 4 protein,1,0.19279626889845106,3.595231300482465,0.19279626889845106,3.595231300482465,0.2130246560783898,3.253835463557222
Q8N3I7,BBS5,Bardet-Biedl syndrome 5 protein,1,0.11837349469517722,5.8555944668598645,0.11837349469517722,5.8555944668598645,0.12004392000480402,5.774113179011534
Q8IWZ6,BBS7,Bardet-Biedl syndrome 7 protein,1,0.21100368439102724,3.285000366512182,0.21100368439102724,3.285000366512182,0.230396398074241,3.0084983374461927
Q3SYG4,BBS9,Protein PTHB1,1,0.158405995283691,4.375763551869237,0.158405995283691,4.375763551869237,0.17782867475797254,3.8978369574160574
P50895,BCAM,Basal cell adhesion molecule,1,0.28219092694694015,2.456305693663484,0.28219092694694015,2.456305693663484,0.3467317952710197,1.999087450339399
Q9UHQ4,BCAP29,B-cell receptor-associated protein 29,1,0.19243282447133073,3.6020215494119747,0.19243282447133073,3.6020215494119747,0.19000758995295525,3.647997328588634
P51572,BCAP31,B-cell receptor-associated protein 31,1,0.16150778279433164,4.291726185372859,0.16150778279433164,4.291726185372859,0.16479708351433334,4.2060646085381626
