,gene,UniProtID,pDesc,pLength,pMass,subLoc,abundanceLevel,avgCopyN
1562,CIT,O14578,Citron Rho-interacting kise,2027,231431,Cytoplasm,Medium,
1563,CIZ1,Q9ULV3,Cip1-interacting zinc finger protein,898,100045,Nucleus,Low,5566.565697477397
1564,CKAP2,Q8WWK9,Cytoskeleton-associated protein 2,683,76987,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, spindle; Cytoplasm, cytoskeleton, spindle pole",Medium,
1565,CKAP2L,Q8IYA6,Cytoskeleton-associated protein 2-like,745,83587,"Cytoplasm, cytoskeleton, spindle pole",Low  ,
1566,CKAP4,Q07065,Cytoskeleton-associated protein 4,602,66022,Endoplasmic reticulum membrane,High,451374.94520427234
1567,CKAP5,Q14008,Cytoskeleton-associated protein 5,2032,225495,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasm, cytoskeleton, spindle pole; Cytoplasm, cytoskeleton, spindle; Chromosome, centromere, kinetochore",High,54861.6633332004
1568,CKB,P12277,Creatine kise B-type,381,42644,"Cytoplasm, cytosol; Mitochondrion; Cell membrane",High,2442526.165624154
1569,CKM,P06732,Creatine kise M-type,381,43101,Cytoplasm,Low,1105.8138766142936
1570,CKMT1A,P12532,"Creatine kise U-type, mitochondrial",417,47037,Mitochondrion inner membrane; Peripheral membrane protein; Intermembrane side,High,116378.80618634203
1571,CKS1B,P61024,Cyclin-dependent kises regulatory subunit 1,79,9660,,Medium,7272.920932283193
1572,CKS2,P33552,Cyclin-dependent kises regulatory subunit 2,79,9860,,Low  ,
1573,CLASP1,Q7Z460,CLIP-associating protein 1,1538,169451,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Chromosome, centromere, kinetochore; Cytoplasm, cytoskeleton, spindle; Golgi apparatus, trans-Golgi network",High,47522.30360018593
1574,CLASP2,O75122,CLIP-associating protein 2,1294,141064,"Cytoplasm, cytoskeleton; Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Chromosome, centromere, kinetochore; Cytoplasm, cytoskeleton, spindle; Golgi apparatus; Golgi apparatus, trans-Golgi network; Cell membrane; Cell projection, ruffle membrane",High,73157.42597067246
1575,CLASRP,Q8N2M8,CLK4-associating serine/arginine rich protein,674,77161,Nucleus,Very Low,299.73478005937886
1576,CLCC1,Q96S66,Chloride channel CLIC-like protein 1,551,62023,Endoplasmic reticulum membrane; Golgi apparatus membrane; Nucleus membrane,Low,6188.555586442313
1577,CLCN2,P51788,Chloride channel protein 2,898,98535,Cell membrane,High,
1578,CLCN3,P51790,H(+)/Cl(-) exchange transporter 3,818,90966,"[Isoform 1]: Early endosome membrane; Late endosome membrane; Lysosome membrane; Cell membrane.;[Isoform 2]: Golgi apparatus membrane; Cell projection, ruffle membrane",Very Low,368.5146429885818
1579,CLCN4,P51793,H(+)/Cl(-) exchange transporter 4,760,84917,Early endosome membrane; Late endosome membrane; Endoplasmic reticulum membrane; Lysosome membrane; Recycling endosome membrane,Low,2157.9719588310813
1580,CLCN5,P51795,H(+)/Cl(-) exchange transporter 5,816,90785,Golgi apparatus membrane; Endosome membrane; Cell membrane,Medium,
1581,CLCN6,P51797,H(+)/Cl(-) exchange transporter 6,869,97289,Late endosome membrane,High,42703.77597226317
1582,CLCN7,P51798,H(+)/Cl(-) exchange transporter 7,805,88679,Lysosome membrane,Low,1998.9694997664233
1583,CLDN6,P56747,Claudin-6,220,23292,"Cell junction, tight junction; Cell membrane",Medium,6831.122092482978
1584,CLDND1,Q9NY35,Claudin domain-containing protein 1,253,28603,Membrane,Low,1865.7312849860066
1585,CLEC16A,Q2KHT3,Protein CLEC16A,1053,117715,Endosome membrane; Lysosome membrane,Low  ,
1586,CLGN,O14967,Calmegin,610,70039,Endoplasmic reticulum membrane; Single-pass type I membrane protein,Low,5842.6135341179115
1587,CLIC1,O00299,Chloride intracellular channel protein 1,241,26923,Nucleus; Nucleus membrane; Cytoplasm; Cell membrane; Endoplasmic reticulum,High,712328.4880323804
1588,CLIC4,Q9Y696,Chloride intracellular channel protein 4,253,28772,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Cytoplasmic vesicle membrane; Nucleus; Cell membrane; Mitochondrion; Cell junction",High,135813.65285516248
1589,CLINT1,Q14677,Clathrin interactor 1,625,68259,"Cytoplasm; Cytoplasm, perinuclear region; Membrane; Peripheral membrane protein; Cytoplasmic vesicle, clathrin-coated vesicle",Medium,18600.87087266252
1590,CLIP1,P30622,CAP-Gly domain-containing linker protein 1,1438,162246,"Cytoplasm; Cytoplasm, cytoskeleton; Cytoplasmic vesicle membrane",Low,6985.962214450063
1591,CLIP2,Q9UDT6,CAP-Gly domain-containing linker protein 2,1046,115837,"Cytoplasm; Cytoplasm, cytoskeleton",High,80361.68357627784
1592,CLIP3,Q96DZ5,CAP-Gly domain-containing linker protein 3,547,59560,"Cell membrane; Cytoplasm; Golgi apparatus, Golgi stack",Low,1285.025582754946
1593,CLIP4,Q8N3C7,CAP-Gly domain-containing linker protein 4,705,76317,,Low  ,
1594,CLK1,P49759,Dual specificity protein kise CLK1,484,57291,Nucleus,Low  ,
1595,CLK2,P49760,Dual specificity protein kise CLK2,499,60090,Nucleus.;[Isoform 1]: Nucleus; Nucleus speckle.;[Isoform 2]: Nucleus speckle,Low  ,
1596,CLK3,P49761,Dual specificity protein kise CLK3,638,73515,"[Isoform 1]: Nucleus; Cytoplasm; Cytoplasmic vesicle, secretory vesicle, acrosome",Medium,
1597,CLK4,Q9HAZ1,Dual specificity protein kise CLK4,481,57492,Nucleus,Medium,
1598,CLMN,Q96JQ2,Calmin,1002,111651,Membrane,High,
1599,CLMP,Q9H6B4,CXADR-like membrane protein,373,41281,"Cell junction, tight junction; Cell membrane",Very Low,794.6217438166213
1600,CLN5,O75503,Ceroid-lipofuscinosis neurol protein 5,358,41497,"[Ceroid-lipofuscinosis neuronal protein 5, secreted form]: Lysosome.;[Ceroid-lipofuscinosis neuronal protein 5]: Membrane",Low  ,1528.955182685608
1601,CLN6,Q9NWW5,Ceroid-lipofuscinosis neurol protein 6,311,35919,Endoplasmic reticulum membrane; Endoplasmic reticulum,High,
1602,CLN8,Q9UBY8,Protein CLN8,286,32787,Endoplasmic reticulum membrane; Endoplasmic reticulum-Golgi intermediate compartment membrane; Endoplasmic reticulum,Medium,
1603,CLNS1A,P54105,Methylosome subunit pICln,237,26215,"Cytoplasm, cytosol; Nucleus; Cytoplasm, cytoskeleton",High,105867.63682683824
1604,CLP1,Q92989,Polyribonucleotide 5'-hydroxyl-kise Clp1,425,47646,Nucleus,Low,1467.0991596593535
1605,CLPB,Q9H078,Caseinolytic peptidase B protein homolog,707,78729,Mitochondrion intermembrane space,Medium,12335.724421030367
1606,CLPP,Q16740,"ATP-dependent Clp protease proteolytic subunit, mitochondrial",277,30180,Mitochondrion matrix,High,38118.19156864467
1607,CLPTM1,O96005,Putative lipid scramblase CLPTM1,669,76097,Membrane,Medium,21893.942966232935
1608,CLPTM1L,Q96KA5,Lipid scramblase CLPTM1L,538,62229,Endoplasmic reticulum membrane,Low,5716.108275062658
1609,CLPX,O76031,"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial",633,69224,"Mitochondrion; Mitochondrion matrix, mitochondrion nucleoid",Medium,13255.245619796866
1610,CLSTN1,O94985,Calsyntenin-1,981,109793,"Postsynaptic cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell projection, neuron projection.;[Soluble Alc-alpha]: Nucleus",Low,1108.805552533621
1611,CLSTN2,Q9H4D0,Calsyntenin-2,955,107006,"Postsynaptic cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell projection, dendrite",Low,2845.330907959291
1612,CLSTN3,Q9BQT9,Calsyntenin-3,956,106098,"Postsynaptic cell membrane; Endoplasmic reticulum membrane; Golgi apparatus membrane; Cell projection, dendrite.;[Isoform CLSTN3beta]: Lipid droplet; Endoplasmic reticulum membrane",Low,2224.0432891856753
1613,CLTA,P09496,Clathrin light chain A,248,27077,"Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side; Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side; Cytoplasm, cytoskeleton, spindle",High,398448.5303530748
1614,CLTB,P09497,Clathrin light chain B,229,25190,"Cytoplasmic vesicle membrane; Peripheral membrane protein; Cytoplasmic side; Membrane, coated pit; Peripheral membrane protein; Cytoplasmic side",High,167894.28875096695
1615,CLTC,Q00610,Clathrin heavy chain 1,1675,191615,"Cytoplasmic vesicle membrane; Membrane, coated pit; Melanosome; Cytoplasm, cytoskeleton, spindle",High,517915.7931159653
1616,CLTCL1,P53675,Clathrin heavy chain 2,1640,187030,"Cytoplasmic vesicle membrane; Membrane, coated pit",High,
1617,CLU,P10909,Clusterin,449,52495,"[Isoform 1]: Secreted.;[Isoform 4]: Cytoplasm.;[Isoform 6]: Cytoplasm.;Nucleus; Cytoplasm; Mitochondrion membrane; Peripheral membrane protein; Cytoplasmic side; Cytoplasm, cytosol; Microsome; Endoplasmic reticulum; Mitochondrion; Mitochondrion membrane; Cytoplasm, perinuclear region; Cytoplasmic vesicle, secretory vesicle, chromaffin granule",Medium,17479.202525737637
1618,CLUAP1,Q96AJ1,Clusterin-associated protein 1,413,48125,"Cell projection, cilium; Nucleus",Very Low,
1619,CLUH,O75153,Clustered mitochondria protein homolog,1309,146670,Cytoplasm; Cytoplasmic granule,Low,4884.067051086982
1620,CLVS1,Q8IUQ0,Clavesin-1,354,40788,"Golgi apparatus, trans-Golgi network membrane; Cytoplasmic vesicle, clathrin-coated vesicle; Early endosome membrane",Low,7074.597086011347
1621,CLVS2,Q5SYC1,Clavesin-2,327,38000,"Golgi apparatus, trans-Golgi network membrane; Cytoplasmic vesicle, clathrin-coated vesicle; Early endosome membrane",Low,2061.04676131434
1622,CLYBL,Q8N0X4,"Citramalyl-CoA lyase, mitochondrial",340,37359,Mitochondrion,Very Low,458.8787563521243
1623,CMAS,Q8NFW8,N-acylneuramite cytidylyltransferase,434,48379,Nucleus,High,76766.94280363942
1624,CMBL,Q96DG6,Carboxymethylenebutenolidase homolog,245,28048,"Cytoplasm, cytosol",High,34471.93319535787
1625,CMC1,Q7Z7K0,COX assembly mitochondrial protein homolog,106,12490,Mitochondrion,Medium,32398.507612005953
1626,CMC2,Q9NRP2,COX assembly mitochondrial protein 2 homolog,79,9460,Mitochondrion,Medium,29294.78228367484
1627,CMC4,P56277,Cx9C motif-containing protein 4,68,7747,Mitochondrion,Low  ,
1628,CMIP,Q8IY22,C-Maf-inducing protein,773,86331,Nucleus; Cytoplasm,Low,5787.244298336309
1629,CMPK1,P30085,UMP-CMP kise,196,22222,Nucleus; Cytoplasm,High,63496.52493641243
1630,CMPK2,Q5EBM0,"UMP-CMP kise 2, mitochondrial",449,49448,Mitochondrion,Medium,
1631,CMSS1,Q9BQ75,Protein CMSS1,279,31884,,Low,7136.435228829453
1632,CMTM3,Q96MX0,CKLF-like MARVEL transmembrane domain-containing protein 3,182,19714,Membrane; Multi-pass membrane protein,Low  ,
1633,CMTM6,Q9NX76,CKLF-like MARVEL transmembrane domain-containing protein 6,183,20419,Cell membrane; Early endosome membrane; Recycling endosome membrane,Very Low,
1634,CMTR1,Q8N1G2,Cap-specific mR (nucleoside-2'-O-)-methyltransferase 1,835,95321,Nucleus,Low,4628.070683089615
1635,CMTR2,Q8IYT2,Cap-specific mR (nucleoside-2'-O-)-methyltransferase 2,770,88120,Nucleus; Cytoplasm,Low  ,
1636,CNBP,P62633,CCHC-type zinc finger nucleic acid binding protein,177,19463,Nucleus; Cytoplasm; Endoplasmic reticulum.;[Isoform 1]: Cytoplasm.;[Isoform 2]: Cytoplasm.;[Isoform 4]: Cytoplasm.;[Isoform 5]: Cytoplasm.;[Isoform 6]: Cytoplasm.;[Isoform 8]: Cytoplasm,High,337104.8043331053
1637,CNDP2,Q96KP4,Cytosolic non-specific dipeptidase,475,52878,Cytoplasm,High,432430.6134734781
1638,CNEP1R1,Q8N9A8,Nuclear envelope phosphatase-regulatory subunit 1,125,14267,Nucleus membrane; Cytoplasm,Low  ,
1639,CNGB1,Q14028,Cyclic nucleotide-gated cation channel beta-1,1251,139678,Membrane; Multi-pass membrane protein,Low  ,
1640,CNIH2,Q6PI25,Protein cornichon homolog 2,160,18931,"Endoplasmic reticulum membrane; Postsynaptic cell membrane; Cell projection, dendrite; Cell projection, dendritic spine; Postsynaptic density",Low  ,
1641,CNIH4,Q9P003,Protein cornichon homolog 4,139,16093,Membrane; Endoplasmic reticulum; Endoplasmic reticulum-Golgi intermediate compartment,Low,5415.043220955606
1642,CNKSR2,Q8WXI2,Connector enhancer of kise suppressor of ras 2,1034,117535,Cytoplasm; Membrane; Peripheral membrane protein,Medium,
1643,CNMD,O75829,Leukocyte cell-derived chemotaxin 1 (Chondromodulin) [Cleaved into: Chondrosurfactant protein (CH-SP); Chondromodulin-1 (Chondromodulin-I) (ChM-I)],334,37102,"[Chondromodulin-1]: Secreted, extracellular space, extracellular matrix",Low,1607.9330017761272
1644,CNN1,P51911,Calponin-1,297,33170,,Low  ,
1645,CNN2,Q99439,Calponin-2,309,33697,,High,54531.21749239872
1646,CNN3,Q15417,Calponin-3,329,36414,,High,152501.98287064943
1647,CNNM1,Q9NRU3,Metal transporter CNNM1,951,104351,Cell membrane,Low  ,
1648,CNNM2,Q9H8M5,Metal transporter CNNM2,875,96623,Cell membrane,Medium,8789.686792137789
1649,CNNM3,Q8NE01,Metal transporter CNNM3,707,76119,Cell membrane,Very Low,455.45537289263336
1650,CNNM4,Q6P4Q7,Metal transporter CNNM4,775,86607,Cell membrane,Very Low,142.8961786009605
1651,CNOT1,A5YKK6,CCR4-NOT transcription complex subunit 1,2376,266939,"Cytoplasm, P-body; Nucleus",Medium,14661.9157650349
1652,CNOT10,Q9H9A5,CCR4-NOT transcription complex subunit 10,744,82310,Cytoplasm; Nucleus,Medium,8791.64159705588
1653,CNOT11,Q9UKZ1,CCR4-NOT transcription complex subunit 11,510,55215,Cytoplasm; Nucleus,Low,2952.9281024066217
1654,CNOT2,Q9NZN8,CCR4-NOT transcription complex subunit 2,540,59738,Cytoplasm; Nucleus,Medium,11673.814659073181
1655,CNOT3,O75175,CCR4-NOT transcription complex subunit 3,753,81872,"Cytoplasm; Nucleus; Cytoplasm, P-body",Low,4894.1886529148705
1656,CNOT4,O95628,CCR4-NOT transcription complex subunit 4,575,63510,Cytoplasm; Nucleus,Low,776.0226050514219
1657,CNOT6,Q9ULM6,CCR4-NOT transcription complex subunit 6,557,63307,Cytoplasm; Nucleus,Very Low,365.59475315648
1658,CNOT6L,Q96LI5,CCR4-NOT transcription complex subunit 6-like,555,63001,Cytoplasm; Nucleus,High,
1659,CNOT7,Q9UIV1,CCR4-NOT transcription complex subunit 7,285,32745,"Nucleus; Cytoplasm, P-body; Cytoplasm, Cytoplasmic ribonucleoprotein granule",Medium,9389.30019650588
1660,CNOT8,Q9UFF9,CCR4-NOT transcription complex subunit 8,292,33540,Cytoplasm; Nucleus,High,
1661,CNOT9,Q92600,CCR4-NOT transcription complex subunit 9,299,33631,"Nucleus; Cytoplasm, P-body",Medium,15075.666663034233
1662,CNP,P09543,"2',3'-cyclic-nucleotide 3'-phosphodiesterase",421,47579,Membrane; Melanosome,High,72873.45294574017
1663,CNPY2,Q9Y2B0,Protein canopy homolog 2,182,20652,Endoplasmic reticulum,High,201191.6602519365
1664,CNPY3,Q9BT09,Protein canopy homolog 3,278,30748,Endoplasmic reticulum,Medium,38754.2814373131
1665,CNPY4,Q8N129,Protein canopy homolog 4,248,28310,Secreted,High,
1666,CNR1,P21554,Canbinoid receptor 1,472,52858,"Cell membrane; Membrane raft; Mitochondrion outer membrane; Cell projection, axon; Presynapse",Low  ,1214.1915668002025
1667,CNRIP1,Q96F85,CB1 canbinoid receptor-interacting protein 1,164,18648,,High,114713.67853929798
1668,CNST,Q6PJW8,Consortin,725,79597,"Cell membrane; Golgi apparatus, trans-Golgi network membrane; Cytoplasmic vesicle, secretory vesicle",Medium,
1669,CNTFR,P26992,Ciliary neurotrophic factor receptor subunit alpha,372,40633,"Cell membrane; Lipid-anchor, GPI-anchor",Medium,29096.31499436968
1670,CNTLN,Q9NXG0,Centlein,1405,161571,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Medium,
1671,CNTN1,Q12860,Contactin-1,1018,113320,"[Isoform 1]: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side.;[Isoform 2]: Cell membrane; Lipid-anchor, GPI-anchor; Extracellular side",High,243784.78782465658
1672,CNTN2,Q02246,Contactin-2,1040,113393,"Cell membrane; Lipid-anchor, GPI-anchor",Medium,18204.785052879964
1673,CNTN5,O94779,Contactin-5,1100,120686,Cell membrane,Low  ,1916.2938352464575
1674,CNTNAP1,P78357,Contactin-associated protein 1,1384,156267,"Membrane; Cell junction, paranodal septate junction",Medium,21454.638554976482
1675,CNTNAP2,Q9UHC6,Contactin-associated protein-like 2,1331,148167,"Membrane; Cell projection, axon; Cell junction, paranodal septate junction",Medium,10156.749846061459
1676,CNTNAP4,Q9C0A0,Contactin-associated protein-like 4,1308,145274,Presynaptic cell membrane,Very Low,
1677,CNTNAP5,Q8WYK1,Contactin-associated protein-like 5,1306,145623,Membrane,Low  ,2961.350566673194
1678,CNTRL,Q7Z7A1,Centriolin (Centrosomal protein 1) (Centrosomal protein of 110 kDa) (Cep110),2325,268886,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome; Midbody, Midbody ring",High,
1679,CNTROB,Q8N137,Centrobin,903,101253,"Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole",Low  ,
1680,COA1,Q9GZY4,Cytochrome c oxidase assembly factor 1 homolog,146,16694,Mitochondrion inner membrane,Very Low,830.7497005426833
1681,COA3,Q9Y2R0,"Cytochrome c oxidase assembly factor 3 homolog, mitochondrial",106,11731,Mitochondrion inner membrane,High,70425.32959351236
1682,COA4,Q9NYJ1,"Cytochrome c oxidase assembly factor 4 homolog, mitochondrial",87,10134,Mitochondrion,High,70235.97068598263
1683,COA5,Q86WW8,Cytochrome c oxidase assembly factor 5,74,8376,,Medium,
1684,COA6,Q5JTJ3,Cytochrome c oxidase assembly factor 6 homolog,125,14116,Mitochondrion intermembrane space,High,44180.50705332927
1685,COA7,Q96BR5,Cytochrome c oxidase assembly factor 7,231,25709,Mitochondrion intermembrane space,Medium,11321.509535988927
1686,COASY,Q13057,Bifunctiol coenzyme A synthase,564,62329,Cytoplasm; Mitochondrion matrix,Low,6365.842991607832
1687,COCH,O43405,Cochlin,550,59483,"Secreted, extracellular space, extracellular matrix",Low  ,1843.3249220421758
1688,COG1,Q8WTW3,Conserved oligomeric Golgi complex subunit 1,980,108978,Golgi apparatus membrane,Low,1175.0183600385799
1689,COG2,Q14746,Conserved oligomeric Golgi complex subunit 2,738,83208,Golgi apparatus membrane,Low,1077.204834014528
1690,COG3,Q96JB2,Conserved oligomeric Golgi complex subunit 3,828,94096,"Golgi apparatus, Golgi stack membrane",Low,5661.502051128903
1691,COG4,Q9H9E3,Conserved oligomeric Golgi complex subunit 4,785,89083,"Cytoplasm, cytosol; Golgi apparatus membrane",Low,8377.04888595854
1692,COG5,Q9UP83,Conserved oligomeric Golgi complex subunit 5,839,92743,"Cytoplasm, cytosol; Golgi apparatus membrane",Low,3066.423283922445
1693,COG6,Q9Y2V7,Conserved oligomeric Golgi complex subunit 6,657,73279,Golgi apparatus membrane,Low,2102.2087767583535
1694,COG7,P83436,Conserved oligomeric Golgi complex subunit 7,770,86344,Golgi apparatus membrane,Very Low,457.76409404174285
1695,COG8,Q96MW5,Conserved oligomeric Golgi complex subunit 8,612,68424,Golgi apparatus membrane,Very Low,495.0210373182765
1696,COIL,P38432,Coilin,576,62608,"Nucleus; Nucleus, Cajal body",Low,3232.319338403384
1697,COL10A1,Q03692,Collagen alpha-1(X) chain,680,66158,"Secreted, extracellular space, extracellular matrix",Low,2373.72125512784
1698,COL11A1,P12107,Collagen alpha-1(XI) chain,1806,181065,"Secreted, extracellular space, extracellular matrix",Very Low,
1699,COL12A1,Q99715,Collagen alpha-1(XII) chain,3063,333147,"Secreted, extracellular space, extracellular matrix",High,
1700,COL14A1,Q05707,Collagen alpha-1(XIV) chain,1796,193515,"Secreted, extracellular space, extracellular matrix",Very Low,69.6164131520594
1701,COL15A1,P39059,Collagen alpha-1(XV) chain,1388,141720,"Secreted, extracellular space, extracellular matrix; Secreted",High,
1702,COL16A1,Q07092,Collagen alpha-1(XVI) chain,1604,157751,"Secreted, extracellular space, extracellular matrix",Very Low,
1703,COL18A1,P39060,Collagen alpha-1(XVIII) chain,1754,178188,"Secreted, extracellular space, extracellular matrix; Secreted, extracellular space, extracellular matrix, basement membrane.;[Non-collagenous domain 1]: Secreted, extracellular space, extracellular matrix, basement membrane; Secreted.;[Endostatin]: Secreted; Secreted, extracellular space, extracellular matrix, basement membrane",Low,4265.364749647796
1704,COL1A1,P02452,Collagen alpha-1(I) chain,1464,138911,"Secreted, extracellular space, extracellular matrix",Low,1893.595409276857
1705,COL1A2,P08123,Collagen alpha-2(I) chain,1366,129314,"Secreted, extracellular space, extracellular matrix",High,
1706,COL20A1,Q9P218,Collagen alpha-1(XX) chain,1284,135830,"Secreted, extracellular space",Very Low,
1707,COL21A1,Q96P44,Collagen alpha-1(XXI) chain,957,99369,"Secreted, extracellular space, extracellular matrix; Cytoplasm",Medium,
1708,COL25A1,Q9BXS0,Collagen alpha-1(XXV) chain,654,64771,Membrane,Very Low,
1709,COL26A1,Q96A83,Collagen alpha-1(XXVI) chain,441,45381,"Secreted, extracellular space, extracellular matrix",Medium,26383.350099869378
1710,COL2A1,P02458,Collagen alpha-1(II) chain (Alpha-1 type II collagen) [Cleaved into: Collagen alpha-1(II) chain; Chondrocalcin],1487,141785,"Secreted, extracellular space, extracellular matrix",Very Low,
1711,COL3A1,P02461,Collagen alpha-1(III) chain,1466,138564,"Secreted, extracellular space, extracellular matrix",Medium,7735.645398669441
1712,COL4A1,P02462,Collagen alpha-1(IV) chain,1669,160611,"Secreted, extracellular space, extracellular matrix, basement membrane",Low  ,
1713,COL4A2,P08572,Collagen alpha-2(IV) chain,1712,167553,"Secreted, extracellular space, extracellular matrix, basement membrane",Medium,
1714,COL4A3,Q01955,Collagen alpha-3(IV) chain,1670,161813,"Secreted, extracellular space, extracellular matrix, basement membrane",Very Low,
1715,COL5A1,P20908,Collagen alpha-1(V) chain,1838,183560,"Secreted, extracellular space, extracellular matrix",Low  ,
1716,COL5A2,P05997,Collagen alpha-2(V) chain,1499,144910,"Secreted, extracellular space, extracellular matrix",Medium,
1717,COL6A1,P12109,Collagen alpha-1(VI) chain,1028,108529,"Secreted, extracellular space, extracellular matrix",Low,8702.277274866094
1718,COL6A2,P12110,Collagen alpha-2(VI) chain,1019,108579,"Secreted, extracellular space, extracellular matrix; Membrane",Medium,
1719,COL6A3,P12111,Collagen alpha-3(VI) chain,3177,343669,"Secreted, extracellular space, extracellular matrix",Medium,
1720,COL6A6,A6NMZ7,Collagen alpha-6(VI) chain,2263,247173,"Secreted, extracellular space, extracellular matrix",Medium,
1721,COL8A1,P27658,Collagen alpha-1(VIII) chain,744,73364,"Secreted, extracellular space, extracellular matrix, basement membrane",Low  ,
1722,COLEC12,Q5KU26,Collectin-12,742,81515,Membrane,Low  ,
1723,COLGALT1,Q8NBJ5,Procollagen galactosyltransferase 1,622,71636,Endoplasmic reticulum lumen,Medium,24321.01449068782
1724,COLGALT2,Q8IYK4,Procollagen galactosyltransferase 2,626,72924,Endoplasmic reticulum lumen,Medium,
1725,COMMD1,Q8N668,COMM domain-containing protein 1,190,21178,Nucleus; Cytoplasm; Endosome membrane; Cytoplasmic vesicle; Early endosome; Recycling endosome,Low,3689.9514692385687
1726,COMMD10,Q9Y6G5,COMM domain-containing protein 10,202,22966,Cytoplasm; Nucleus,Low,6238.295256121819
1727,COMMD2,Q86X83,COMM domain-containing protein 2,199,22745,Cytoplasm,Low,4048.4907648514663
1728,COMMD3,Q9UBI1,COMM domain-containing protein 3,195,22151,Cytoplasm; Nucleus,Low,6387.180331283589
1729,COMMD4,Q9H0A8,COMM domain-containing protein 4,199,21764,Cytoplasm; Nucleus,Low,2307.3950391363906
1730,COMMD5,Q9GZQ3,COMM domain-containing protein 5,224,24670,Cytoplasm; Nucleus,Low,2204.897888504902
1731,COMMD6,Q7Z4G1,COMM domain-containing protein 6,85,9638,Nucleus; Cytoplasm,Low,3504.820835132372
1732,COMMD7,Q86VX2,COMM domain-containing protein 7,200,22540,Cytoplasmic vesicle,Medium,
1733,COMMD8,Q9NX08,COMM domain-containing protein 8,183,21090,Cytoplasm; Nucleus,Low  ,4778.0420882703565
1734,COMMD9,Q9P000,COMM domain-containing protein 9,198,21819,Nucleus; Cytoplasmic vesicle,Medium,5784.335547451975
1735,COMT,P21964,Catechol O-methyltransferase,271,30037,[Isoform Soluble]: Cytoplasm.;[Isoform Membrane-bound]: Cell membrane,Medium,22848.90661354361
1736,COMTD1,Q86VU5,Catechol O-methyltransferase domain-containing protein 1,262,28809,Membrane,Very Low,
1737,COP1,Q8NHY2,E3 ubiquitin-protein ligase COP1,731,80474,Nucleus speckle; Cytoplasm,Low  ,
1738,COPA,P53621,Coatomer subunit alpha,1224,138346,"Cytoplasm; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane.;[Xenin]: Secreted",High,101924.47558300561
1739,COPB1,P53618,Coatomer subunit beta,953,107142,"Cytoplasm; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane; Peripheral membrane protein; Cell membrane; Endoplasmic reticulum-Golgi intermediate compartment",High,83031.35898548596
1740,COPB2,P35606,Coatomer subunit beta',906,102487,"Cytoplasm, cytosol; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",High,122181.52424671833
1741,COPE,O14579,Coatomer subunit epsilon,308,34482,"Cytoplasm; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",Medium,36301.89792261316
1742,COPG1,Q9Y678,Coatomer subunit gamma-1,874,97718,"Cytoplasm; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",Medium,21716.41202494
1743,COPG2,Q9UBF2,Coatomer subunit gamma-2,871,97622,"Cytoplasm, cytosol; Golgi apparatus membrane; Cytoplasmic vesicle, COPI-coated vesicle membrane",High,83215.24200978296
1744,COPRS,Q9NQ92,Coorditor of PRMT5 and differentiation stimulator,184,20066,Nucleus,Medium,11498.469086061668
1745,COPS2,P61201,COP9 siglosome complex subunit 2,443,51597,Cytoplasm; Nucleus,High,47335.8637919661
1746,COPS3,Q9UNS2,COP9 siglosome complex subunit 3,423,47873,Cytoplasm; Nucleus,High,116479.85507267584
1747,COPS4,Q9BT78,COP9 siglosome complex subunit 4,406,46269,"Cytoplasm; Nucleus; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle",High,141048.001294502
1748,COPS5,Q92905,COP9 siglosome complex subunit 5,334,37579,"Cytoplasm, cytosol; Nucleus; Cytoplasm, perinuclear region; Cytoplasmic vesicle, secretory vesicle, synaptic vesicle",High,82137.4546595791
1749,COPS6,Q7L5N1,COP9 siglosome complex subunit 6,327,36163,"Nucleus; Cytoplasm.;Cytoplasm, perinuclear region",Medium,45715.11333291848
1750,COPS7A,Q9UBW8,COP9 siglosome complex subunit 7a,275,30277,Cytoplasm; Nucleus,Medium,11786.518579189898
1751,COPS7B,Q9H9Q2,COP9 siglosome complex subunit 7b,264,29622,Cytoplasm; Nucleus,High,56706.03609439718
