,GeneID,UniProtID,Protein Description,Protein Length (#AA),Protein Mass (Da),Subcellular Location ,Abundance Level,Average Protein Copy Number
512,ARF4,P18085,ADP-ribosylation factor 4,180,20511,SUBCELLULAR LOCATION: Golgi apparatus. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.,High,296048.24099370954
513,ARF5,P84085,ADP-ribosylation factor 5,180,20530,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:17555535}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:17555535}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P84084}; Lipid-anchor {ECO:0000250|UniProtKB:P84084}.",High,159836.49609593416
514,ARF6,P62330,ADP-ribosylation factor 6,175,20082,"SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000269|PubMed:16737952, ECO:0000269|PubMed:23603394, ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}. Cell membrane {ECO:0000269|PubMed:16737952, ECO:0000269|PubMed:17398095, ECO:0000269|PubMed:17555535, ECO:0000269|PubMed:32103017}; Lipid-anchor {ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}. Endosome membrane {ECO:0000269|PubMed:19948740, ECO:0000269|PubMed:20682791, ECO:0000269|PubMed:21951725}; Lipid-anchor {ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}. Recycling endosome membrane {ECO:0000269|PubMed:21951725}; Lipid-anchor {ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}. Cell projection, filopodium membrane {ECO:0000269|PubMed:14978216}; Lipid-anchor {ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}. Cell projection, ruffle {ECO:0000269|PubMed:16737952}. Cleavage furrow {ECO:0000269|PubMed:23603394}. Midbody, Midbody ring {ECO:0000269|PubMed:23603394}. Early endosome membrane {ECO:0000250|UniProtKB:P62331}; Lipid-anchor {ECO:0000250|UniProtKB:P62331}. Golgi apparatus, trans-Golgi network membrane {ECO:0000250|UniProtKB:P62331}; Lipid-anchor {ECO:0000250|UniProtKB:P62331}. Note=Distributed uniformly on the plasma membrane, as well as throughout the cytoplasm during metaphase. Subsequently concentrated at patches in the equatorial region at the onset of cytokinesis, and becomes distributed in the equatorial region concurrent with cleavage furrow ingression. In late stages of cytokinesis, concentrates at the midbody ring/Flemming body (PubMed:23603394). Recruitment to the midbody ring requires both activation by PSD/EFA6A and interaction with KIF23/MKLP1 (PubMed:23603394). After abscission of the intercellular bridge, incorporated into one of the daughter cells as a midbody remnant and localizes to punctate structures beneath the plasma membrane (PubMed:23603394). Recruited to the cell membrane in association with CYTH2 and ARL4C (PubMed:17398095). Colocalizes with DAB2IP at the plasma membrane and endocytic vesicles (PubMed:19948740). Myristoylation is required for proper localization to membranes: myristoylation on Lys-3 allows ARF6 to remain on membranes during the GTPase cycle (PubMed:7589240, PubMed:32103017). {ECO:0000269|PubMed:17398095, ECO:0000269|PubMed:19948740, ECO:0000269|PubMed:23603394, ECO:0000269|PubMed:32103017, ECO:0000269|PubMed:7589240}.",Medium,9947.772070953433
515,ARFGAP1,Q8N6T3,ADP-ribosylation factor GTPase-activating protein 1,406,44668,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Golgi apparatus {ECO:0000250}. Note=Associates with the Golgi complex. {ECO:0000250}.,Medium,27007.66048695498
516,ARFGAP2,Q8N6H7,ADP-ribosylation factor GTPase-activating protein 2,521,56720,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17760859}. Golgi apparatus membrane {ECO:0000269|PubMed:17760859}; Peripheral membrane protein {ECO:0000269|PubMed:17760859}; Cytoplasmic side {ECO:0000269|PubMed:17760859}. Note=Also found on peripheral punctate structures likely to be endoplasmic reticulum-Golgi intermediate compartment.,Medium,40479.8832519831
517,ARFGAP3,Q9NP61,ADP-ribosylation factor GTPase-activating protein 3,516,56928,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17760859}. Golgi apparatus membrane {ECO:0000269|PubMed:17760859}; Peripheral membrane protein {ECO:0000269|PubMed:17760859}; Cytoplasmic side {ECO:0000269|PubMed:17760859}. Note=Also found on peripheral punctate structures likely to be endoplasmic reticulum-Golgi intermediate compartment.,Low,1538.0221448404313
518,ARFGEF1,Q9Y6D6,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,1849,208767,"SUBCELLULAR LOCATION: Cytoplasm. Cytoplasm, perinuclear region. Golgi apparatus {ECO:0000269|PubMed:12571360}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:27373159, ECO:0000269|PubMed:27436755}. Nucleus {ECO:0000269|PubMed:14973189}. Nucleus, nucleolus {ECO:0000269|PubMed:14973189}. Nucleus matrix {ECO:0000269|PubMed:14973189}. Note=Translocates from cytoplasm to membranes and nucleus upon cAMP treatment.",Low,8040.988072306031
519,ARFGEF2,Q9Y6D5,Brefeldin A-inhibited guanine nucleotide-exchange protein 2,1785,202038,"SUBCELLULAR LOCATION: Cytoplasm. Membrane. Golgi apparatus. Cytoplasm, perinuclear region. Golgi apparatus, trans-Golgi network {ECO:0000250}. Endosome {ECO:0000250}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cell projection, dendrite {ECO:0000250}. Cytoplasmic vesicle {ECO:0000250}. Synapse {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Translocates from cytoplasm to membranes upon cAMP treatment. Localized in recycling endosomes.",Low  ,1376.1271747564485
520,ARFGEF3,Q5TH69,Brefeldin A-inhibited guanine nucleotide-exchange protein 3,2177,240652,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19496786}. Cytoplasmic vesicle, secretory vesicle {ECO:0000250|UniProtKB:Q3UGY8}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.",Low,3857.8023253570386
521,ARFIP1,P53367,Arfaptin-1,373,41738,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:22981988, ECO:0000269|PubMed:9038142}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21239483, ECO:0000269|PubMed:30917996}.",Low,4872.671524403245
522,ARFIP2,P53365,Arfaptin-2,341,37856,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:22981988}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21239483, ECO:0000269|PubMed:22679020, ECO:0000269|PubMed:26507660, ECO:0000269|PubMed:30917996, ECO:0000269|PubMed:31204568}.",Medium,9861.324397646946
523,ARFRP1,Q13795,ADP-ribosylation factor-related protein 1,201,22614,"SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:15077113}. Golgi apparatus, trans-Golgi network {ECO:0000250|UniProtKB:Q8BXL7}. Note=Located in the trans-Golgi in the GTP-bound active state. {ECO:0000250|UniProtKB:Q8BXL7}.",Very Low,632.5225450240985
524,ARG1,P05089,Arginase-1 (EC 3.5.3.1) (Liver-type arginase) (Type I arginase),322,34735,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16141327}. Cytoplasmic granule {ECO:0000269|PubMed:15546957}. Note=Localized in azurophil granules of neutrophils (PubMed:15546957). {ECO:0000269|PubMed:15546957}.,Low  ,
525,ARG2,P78540,"Argise-2, mitochondrial",354,38578,SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:8898077}.,Medium,15101.232136512583
526,ARGLU1,Q9NWB6,Arginine and glutamate-rich protein 1,273,33216,"SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21454576}. Note=Recruited, in an estrogen-dependent manner, to ESR1 target gene promoters. Colocalizes with MED1.",High,64844.87804571965
527,ARHGAP1,Q07960,Rho GTPase-activating protein 1,439,50436,SUBCELLULAR LOCATION: Cytoplasm.,High,51806.2358991043
528,ARHGAP10,A1A4S6,Rho GTPase-activating protein 10,786,89375,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Cytoplasm, perinuclear region {ECO:0000250}. Cell membrane {ECO:0000250}. Note=Association to cell membrane is dependent on PH domain. {ECO:0000250}.",Very low,
529,ARHGAP12,Q8IWW6,Rho GTPase-activating protein 12,846,96254,,Low,1731.1197449683018
530,ARHGAP17,Q68EM7,Rho GTPase-activating protein 17,881,95437,"SUBCELLULAR LOCATION: Membrane; Peripheral membrane protein. Cytoplasm. Cell junction, tight junction. Note=Associates with membranes and concentrates at sites of cell-cell contact.",Low,7718.625076736452
531,ARHGAP18,Q8N392,Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18),663,74977,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21865595}.,Very Low,684.1522247737411
532,ARHGAP19,Q14CB8,Rho GTPase-activating protein 19,494,55756,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17454002}.,Low  ,
533,ARHGAP21,Q5T5U3,Rho GTPase-activating protein 21,1958,217462,"SUBCELLULAR LOCATION: Golgi apparatus membrane; Peripheral membrane protein. Cell junction. Cytoplasmic vesicle membrane; Peripheral membrane protein. Cytoplasm, cytoskeleton. Note=Localization to the Golgi is dependent on interaction with GTP-bound ARF1.",Medium,10001.944872653881
534,ARHGAP22,Q7Z5H3,Rho GTPase-activating protein 22,698,76779,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}. Note=Mainly cytoplasmic. Some fraction is nuclear (By similarity). {ECO:0000250}.,Low  ,2356.7010612416943
535,ARHGAP23,Q9P227,Rho GTPase-activating protein 23,1491,162192,,High,
536,ARHGAP26,Q9UNA1,Rho GTPase-activating protein 26,814,92235,"SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000250}. Cytoplasm, cytoskeleton {ECO:0000250}. Note=Colocalizes with actin stress fibers and cortical actin structures. {ECO:0000250}.",Low  ,
537,ARHGAP28,Q9P2N2,Rho GTPase-activating protein 28,729,82060,,Medium,
538,ARHGAP31,Q2M1Z3,Rho GTPase-activating protein 31,1444,156985,"SUBCELLULAR LOCATION: Cell projection, lamellipodium. Cell junction, focal adhesion {ECO:0000250}.",Medium,
539,ARHGAP32,A7KAX9,Rho GTPase-activating protein 32,2087,230529,"SUBCELLULAR LOCATION: Postsynaptic density {ECO:0000250|UniProtKB:Q811P8}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q811P8}. Cytoplasm, cell cortex {ECO:0000269|PubMed:12446789}. Endosome membrane {ECO:0000269|PubMed:17663722}. Golgi apparatus membrane {ECO:0000269|PubMed:17663722}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q811P8}. Membrane {ECO:0000269|PubMed:17663722}. Note=Association to membrane via PX domain (PubMed:17663722). Associated with cortical actin in undifferentiated neuroblastoma cells, but localized to dendritic spine and postsynaptic density after differentiation (By similarity). Colocalizes with EGFR at the cell membrane upon EGF treatment (PubMed:12446789). Colocalizes with GAB2 at the cell membrane (PubMed:12819203). {ECO:0000250|UniProtKB:Q811P8, ECO:0000269|PubMed:12446789, ECO:0000269|PubMed:12819203, ECO:0000269|PubMed:17663722}.",Very low,391.28666192209835
540,ARHGAP33,O14559,Rho GTPase-activating protein 33,1287,137213,,Very low,564.8319772405433
541,ARHGAP35,Q9NRY4,Rho GTPase-activating protein 35,1499,170514,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium basal body {ECO:0000250|UniProtKB:Q91YM2}. Cytoplasm {ECO:0000250|UniProtKB:Q91YM2}. Nucleus {ECO:0000305|PubMed:1894621}. Cell membrane {ECO:0000250|UniProtKB:Q91YM2}. Note=In response to integrins and SDC4 and upon phosphorylation by PKC, relocalizes from the cytoplasm to regions of plasma membrane ruffling where it colocalizes with polymerized actin. {ECO:0000250|UniProtKB:Q91YM2}.",Medium,17521.757175888568
542,ARHGAP39,Q9C0H5,Rho GTPase-activating protein 39,1083,121286,SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.,Very low,379.5279445143557
543,ARHGAP42,A6NI28,Rho GTPase-activating protein 42,874,98569,,Very low,
544,ARHGAP44,Q17R89,Rho GTPase-activating protein 44,818,89247,"SUBCELLULAR LOCATION: Cell projection, dendritic spine {ECO:0000250|UniProtKB:Q5SSM3}. Recycling endosome {ECO:0000250|UniProtKB:Q5SSM3}. Presynapse {ECO:0000250|UniProtKB:Q5SSM3}. Cell projection, dendrite {ECO:0000250|UniProtKB:F1LQX4}. Note=In CA1 hippocampal synapses, detected at both presynaptic and postsynaptic sites (By similarity). Located in convoluted dendritic plasma membrane sections enriched in polymerized actin and myosin (patches) along dendrites where often emerge filopodia (By similarity). {ECO:0000250|UniProtKB:F1LQX4, ECO:0000250|UniProtKB:Q5SSM3}.",Low  ,
545,ARHGAP5,Q13017,Rho GTPase-activating protein 5,1502,172460,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:8537347}. Cell membrane {ECO:0000269|PubMed:8537347}; Peripheral membrane protein {ECO:0000269|PubMed:8537347}. Note=Also membrane-associated in a fibrillar pattern that colocalizes with the alpha5-beta1 integrin receptor (ITGA5/ITGB1) for fibronectin. {ECO:0000269|PubMed:8537347}.,Low  ,1652.3158790925738
546,ARHGAP8,P85298,Rho GTPase-activating protein 8,464,53484,,High,
547,ARHGDIA,P52565,Rho GDP-dissociation inhibitor 1,204,23207,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23434736}.,High,759172.7478910834
548,ARHGEF1,Q92888,Rho guanine nucleotide exchange factor 1,912,102435,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10747909}. Membrane {ECO:0000269|PubMed:10747909}. Note=Translocated to the membrane by activated GNA13 or LPA stimulation.,Very low,219.68643328504717
549,ARHGEF10,O15013,Rho guanine nucleotide exchange factor 10,1369,151612,,Low  ,
550,ARHGEF10L,Q9HCE6,Rho guanine nucleotide exchange factor 10-like protein,1279,140379,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16112081}.,Very Low,113.89128909245878
551,ARHGEF11,O15085,Rho guanine nucleotide exchange factor 11,1522,167704,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10900204}. Membrane {ECO:0000269|PubMed:10900204}. Note=Translocated to the membrane upon stimulation.,High,55457.48309099034
552,ARHGEF12,Q9NZN5,Rho guanine nucleotide exchange factor 12,1544,173232,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Membrane {ECO:0000305}. Note=Translocated to the membrane upon stimulation. {ECO:0000305}.,Low,6398.995731698911
553,ARHGEF16,Q5VV41,Rho guanine nucleotide exchange factor 16,709,80105,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.,Low  ,
554,ARHGEF17,Q96PE2,Rho guanine nucleotide exchange factor 17,2063,221673,,Very low,225.49468450999146
555,ARHGEF18,Q6ZSZ5,Rho guanine nucleotide exchange factor 18,1361,151642,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15558029}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:15558029}. Cell membrane {ECO:0000269|PubMed:29601110}. Apical cell membrane {ECO:0000269|PubMed:22006950}. Note=In unactivated eosinophils, distributed around the cell periphery in the perimembranous region (PubMed:29601110). In activated eosinophils, relocates to the tip of the nucleopod, a membrane structure formed during activation when the nucleus moves to one end of the cell, and is also concentrated in membrane protrusions at the opposite end of the cell (PubMed:29601110). Localizes to the apical cell membrane in epithelial cells (PubMed:22006950). {ECO:0000269|PubMed:22006950, ECO:0000269|PubMed:29601110}.",Low,1250.3534273102468
556,ARHGEF2,Q92974,Rho guanine nucleotide exchange factor 2,986,111543,"SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11912491, ECO:0000269|PubMed:21887730, ECO:0000269|PubMed:9857026}. Cytoplasm {ECO:0000269|PubMed:15827085, ECO:0000269|PubMed:21887730}. Cell junction, tight junction {ECO:0000269|PubMed:19043560}. Golgi apparatus {ECO:0000269|PubMed:15827085}. Cytoplasm, cytoskeleton, spindle {ECO:0000269|PubMed:17488622}. Cell projection, ruffle membrane {ECO:0000269|PubMed:19043560}. Cytoplasmic vesicle {ECO:0000269|PubMed:21887730}. Note=Localizes to the tips of cortical microtubules of the mitotic spindle during cell division, and is further released upon microtubule depolymerization (PubMed:15827085). Recruited into membrane ruffles induced by S.flexneri at tight junctions of polarized epithelial cells (PubMed:19043560). Colocalized with NOD2 and RIPK2 in vesicles and with the cytoskeleton (PubMed:21887730). {ECO:0000269|PubMed:15827085, ECO:0000269|PubMed:19043560, ECO:0000269|PubMed:21887730}.",Medium,14556.468962894724
557,ARHGEF25,Q86VW2,Rho guanine nucleotide exchange factor 25,580,63843,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}. Cytoplasm, myofibril, sarcomere {ECO:0000269|PubMed:11861769}. Note=Highly colocalizes with actin regions.",Medium,
558,ARHGEF26,Q96DR7,Rho guanine nucleotide exchange factor 26,871,97346,"SUBCELLULAR LOCATION: Cell projection, ruffle {ECO:0000269|PubMed:15133129, ECO:0000269|PubMed:17875742}.",High,
559,ARHGEF4,Q9NR80,Rho guanine nucleotide exchange factor 4,690,79067,"SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm. Cell projection, ruffle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Note=Associated with membrane ruffles. {ECO:0000305}.",Medium,
560,ARHGEF40,Q8TER5,Rho guanine nucleotide exchange factor 40,1519,164658,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:16143467}. Note=Concentrated in the perinuclear region.,Very low,369.22539105205993
561,ARHGEF6,Q15052,Rho guanine nucleotide exchange factor 6,776,87499,"SUBCELLULAR LOCATION: Cell projection, lamellipodium {ECO:0000250}.",Medium,
562,ARHGEF7,Q14155,Rho guanine nucleotide exchange factor 7,803,90012,"SUBCELLULAR LOCATION: Cell junction, focal adhesion {ECO:0000250}. Cell projection, ruffle {ECO:0000250}. Cytoplasm, cell cortex {ECO:0000250}. Cell projection, lamellipodium {ECO:0000250}. Note=Detected at cell adhesions. A small proportion is detected at focal adhesions.",Medium,22767.779576237313
563,ARHGEF9,O43307,Rho guanine nucleotide exchange factor 9,516,60982,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10559246}. Postsynaptic density {ECO:0000250|UniProtKB:Q3UTH8}.,Medium,
564,ARID1A,O14497,AT-rich interactive domain-containing protein 1A,2285,242045,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:11318604, ECO:0000269|PubMed:26614907}.",Medium,13239.670630125436
565,ARID1B,Q8NFD5,AT-rich interactive domain-containing protein 1B,2319,243943,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:11988099}.",Low,4657.331673360683
566,ARID2,Q68CP9,AT-rich interactive domain-containing protein 2,1835,197391,SUBCELLULAR LOCATION: Nucleus.,Low,978.6922781085607
567,ARID3A,Q99856,AT-rich interactive domain-containing protein 3A,593,62889,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:17400556}. Cytoplasm {ECO:0000269|PubMed:17400556}. Note=Shuttles between nucleus and cytoplasm.",Low,1998.7846647310616
568,ARID3B,Q8IVW6,AT-rich interactive domain-containing protein 3B,561,60637,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:10446990, ECO:0000269|PubMed:17400556}.",Low,5733.626975060599
569,ARID4A,P29374,AT-rich interactive domain-containing protein 4A,1257,142752,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355, ECO:0000269|PubMed:8414517, ECO:0000269|PubMed:8455946}.",Low  ,
570,ARID4B,Q4LE39,AT-rich interactive domain-containing protein 4B,1312,147809,"SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00355}. Cytoplasm {ECO:0000269|PubMed:11481388, ECO:0000269|PubMed:15247124}. Note=Cytoplasmic in breast cancer cells. {ECO:0000269|PubMed:15247124}.",Low,1478.166762676296
571,ARIH1,Q9Y4X5,E3 ubiquitin-protein ligase ARIH1,557,64118,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11278816, ECO:0000269|PubMed:21590270, ECO:0000269|PubMed:23059369}. Nucleus {ECO:0000269|PubMed:23059369}. Nucleus, Cajal body {ECO:0000269|PubMed:23059369}. Note=Mainly cytoplasmic (PubMed:11278816). Present in Lewy body (PubMed:21590270). {ECO:0000269|PubMed:11278816, ECO:0000269|PubMed:21590270}.",Low,7797.130190725265
572,ARIH2,O95376,E3 ubiquitin-protein ligase ARIH2,493,57819,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:16118314}. Cytoplasm {ECO:0000269|PubMed:19340006}.,Medium,8723.406228010092
573,ARK2N,Q96B23,Uncharacterized protein C18orf25,404,43395,SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:31341047}.,Medium,16524.622007615602
574,ARL1,P40616,ADP-ribosylation factor-like protein 1,181,20418,"SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000269|PubMed:11303027}; Peripheral membrane protein {ECO:0000269|PubMed:11303027}; Cytoplasmic side {ECO:0000269|PubMed:11303027}. Golgi apparatus, trans-Golgi network membrane {ECO:0000269|PubMed:21239483, ECO:0000269|PubMed:27373159, ECO:0000269|PubMed:27436755}. Membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}.",Medium,14593.982546040887
575,ARL10,Q8N8L6,ADP-ribosylation factor-like protein 10,244,27459,,Low,2945.0729355022495
576,ARL13B,Q3SXY8,ADP-ribosylation factor-like protein 13B,428,48643,"SUBCELLULAR LOCATION: Cell projection, cilium membrane {ECO:0000269|PubMed:18554500, ECO:0000269|PubMed:24120134}; Lipid-anchor {ECO:0000269|PubMed:18554500, ECO:0000269|PubMed:24120134}. Cell projection, cilium {ECO:0000269|PubMed:25138100}. Note=Associates to the cilium membrane via palmitoylation. Localizes to proximal ciliary membranes, to an inversin-like subciliary membrane compartment, excluding the transition zone.",Very low,
577,ARL14EP,Q8N8R7,ARL14 effector protein,260,29338,SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:21458045}.,Low  ,
578,ARL15,Q9NXU5,ADP-ribosylation factor-like protein 15,204,22876,,Low,7150.938564071948
579,ARL2,P36404,ADP-ribosylation factor-like protein 2,184,20878,"SUBCELLULAR LOCATION: Mitochondrion intermembrane space {ECO:0000305|PubMed:30945270}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus. Cytoplasm. Note=The complex formed with ARL2BP, ARL2 and SLC25A6 is expressed in mitochondria. The complex formed with ARL2BP, ARL2 and SLC25A4 is expressed in mitochondria (By similarity). Not detected in the Golgi, nucleus and on the mitotic spindle. Centrosome-associated throughout the cell cycle. Not detected to interphase microtubules. {ECO:0000250|UniProtKB:O08697}.",High,78716.96135352699
580,ARL2BP,Q9Y2Y0,ADP-ribosylation factor-like protein 2-binding protein,163,18822,"SUBCELLULAR LOCATION: Cytoplasm. Mitochondrion intermembrane space. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Nucleus. Cytoplasm, cytoskeleton, spindle. Cytoplasm, cytoskeleton, cilium basal body. Note=The complex formed with ARL2BP, ARL2 and SLC25A4 is expressed in mitochondria (By similarity). Detected in the midbody matrix. Not detected in the Golgi, nucleus and on the mitotic spindle. Centrosome-associated throughout the cell cycle. Not detected to interphase microtubules. In retina photoreceptor cells, localized in the distal connecting cilia, basal body, ciliary-associated centriole, and ciliary rootlet. Interaction with ARL2 may be required for cilia basal body localization. {ECO:0000250}.",Low,4728.832698161817
581,ARL3,P36405,ADP-ribosylation factor-like protein 3,182,20456,"SUBCELLULAR LOCATION: Golgi apparatus membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, spindle. Nucleus. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome. Cytoplasm. Cell projection, cilium {ECO:0000269|PubMed:30269812}. Note=Detected predominantly in the photoreceptor connecting cilium. Present on the mitotic spindle. Centrosome-associated throughout the cell cycle. Not detected to interphase microtubules.",High,208156.26871879233
582,ARL4A,P40617,ADP-ribosylation factor-like protein 4A,200,22615,"SUBCELLULAR LOCATION: Cell membrane. Cytoplasm. Nucleus, nucleolus. Note=Localization in the nucleolus is dependent by nucleotide binding.",Very low,
583,ARL4C,P56559,ADP-ribosylation factor-like protein 4C,192,21487,"SUBCELLULAR LOCATION: Cell projection, filopodium. Cell membrane. Cytoplasm.",Low  ,
584,ARL5A,Q9Y689,ADP-ribosylation factor-like protein 5A,179,20728,,Medium,
585,ARL5B,Q96KC2,ADP-ribosylation factor-like protein 5B,179,20375,,High,
586,ARL6,Q9H0F7,ADP-ribosylation factor-like protein 6,186,21097,"SUBCELLULAR LOCATION: Cell projection, cilium membrane; Peripheral membrane protein; Cytoplasmic side. Cytoplasm, cytoskeleton, cilium axoneme. Cytoplasm, cytoskeleton, cilium basal body. Note=Appears in a pattern of punctae flanking the microtubule axoneme that likely correspond to small membrane-associated patches. Localizes to the so-called ciliary gate where vesicles carrying ciliary cargo fuse with the membrane.",High,
587,ARL6IP1,Q15041,ADP-ribosylation factor-like protein 6-interacting protein 1,203,23363,"SUBCELLULAR LOCATION: Endomembrane system {ECO:0000269|PubMed:10995579}; Multi-pass membrane protein {ECO:0000269|PubMed:10995579}. Endoplasmic reticulum membrane {ECO:0000269|PubMed:12754298, ECO:0000269|PubMed:24076029, ECO:0000269|PubMed:24262037}; Multi-pass membrane protein {ECO:0000269|PubMed:24076029}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9JKW0}. Note=Predominantly localized to intracytoplasmic membranes. Preferentially localizes at the ER tubules and the edge of the ER sheets, both of which are characterized by a high membrane curvature. {ECO:0000269|PubMed:24262037}.",High,61450.724415948076
588,ARL6IP4,Q66PJ3,ADP-ribosylation factor-like protein 6-interacting protein 4,237,26375,"SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:19582790}. Nucleus speckle {ECO:0000269|PubMed:19582790}.",Medium,21384.207888925885
589,ARL6IP5,O75915,PRA1 family protein 3,188,21615,"SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9ES40}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q9ES40}; Multi-pass membrane protein {ECO:0000255}. Cytoplasm {ECO:0000250|UniProtKB:Q9ES40}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q9ES40}. Note=Also exists as a soluble form in the cytoplasm. Associated with microtubules. {ECO:0000250|UniProtKB:Q9ES40}.",High,127705.22434464282
590,ARL6IP6,Q8N6S5,ADP-ribosylation factor-like protein 6-interacting protein 6,226,24676,SUBCELLULAR LOCATION: Nucleus inner membrane {ECO:0000250|UniProtKB:Q8BH07}; Multi-pass membrane protein {ECO:0000255}.,High,
